商品名,加盟店名,ERAWAN,受注月,開始年月,終了年月,ステータス,単価（円/税抜）,備考,_BATCH_ROW_NUM_,_BATCH_FILE_NAME_,_BATCH_FILE_ID_,_BATCH_ID_,_BATCH_LAST_RUN_
チャットボット,岡山南店,4034,"2024""年""05""月""","2024""年""07""月""","2025""年""01""月""",終了,10000,,1,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,越谷店,4034,"2024""年""03""月""","2024""年""03""月""","2024""年""12""月""",終了,10000,外部サイト,2,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,東三河店,4034,"2024""年""06""月""","2024""年""07""月""","2024""年""11""月""",終了,10000,外部サイト,3,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,東千葉店,4034,"2024""年""05""月""","2024""年""05""月""","2024""年""11""月""",終了,10000,,4,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,西尾張中央店,4034,"2024""年""04""月""","2024""年""04""月""","2025""年""01""月""",終了,10000,外部サイト,5,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,高井田店,4034,"2024""年""04""月""","2024""年""04""月""","2025""年""08""月""",終了,10000,,6,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,豊田永覚店,4034,"2024""年""05""月""","2024""年""05""月""",,稼働中,10000,,7,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,京都南店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""04""月""",終了,10000,外部サイト,8,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,蓮田店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""04""月""",終了,10000,,9,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,三木店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""06""月""",終了,10000,,10,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,加古川北店,4034,"2024""年""05""月""","2024""年""05""月""",,稼働中,10000,外部サイト,11,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,岡谷下諏訪店,4034,"2024""年""05""月""","2024""年""05""月""","2025""年""06""月""",終了,10000,,12,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,筑西店,4034,"2024""年""06""月""","2024""年""06""月""","2025""年""06""月""",終了,10000,,13,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,土浦店,4034,"2024""年""06""月""","2024""年""06""月""","2025""年""10""月""",終了,10000,,14,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,町田森野店,4034,"2024""年""06""月""","2024""年""08""月""",,稼働中,10000,,15,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,郡山店,4034,"2024""年""08""月""","2024""年""08""月""","2025""年""06""月""",終了,10000,福島県店舗はアカウント共有,16,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,いわき店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,17,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,福島店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,18,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,白河店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,19,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,南相馬店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,20,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,とちぎ店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,21,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,宇都宮鶴田店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,22,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,那須塩原店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,23,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,鹿沼店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,,24,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,水戸中央店,4034,"2024""年""08""月""","2024""年""08""月""",,稼働中,10000,一時停止中,25,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,板橋徳丸店,4034,"2024""年""04""月""","2024""年""08""月""","2026""年""01""月""",終了,10000,,26,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,大野城店,4034,"2024""年""06""月""","2024""年""10""月""","2025""年""06""月""",終了,10000,,27,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,千葉稲毛店,4034,"2024""年""04""月""","2025""年""01""月""","2025""年""05""月""",終了,10000,,28,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,生駒店,4034,"2024""年""04""月""","2025""年""01""月""",,稼働中,10000,,29,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
チャットボット,半田インター店,4034,"2025""年""07""月""","2025""年""07""月""",,稼働中,10000,,30,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,佐賀兵庫店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,31,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,市川行徳店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,32,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,鹿児島中央店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,33,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,郡山店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,34,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,白河店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,35,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,いわき店,3267,"2023""年""04""月""","2023""年""04""月""","2026""年""03""月""",終了,5000,プレミアム版加入にあたり通常版終了,36,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,福島店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,37,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,那須塩原店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,38,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,鹿沼店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,旧宇都宮店サイト,39,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,宇都宮店,3267,"2023""年""04""月""","2023""年""04""月""","2025""年""12""月""",終了,5000,旧宇都宮鶴田店サイト,40,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,とちぎ店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,41,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,はちまん店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,42,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,東刈谷店,3267,"2023""年""04""月""","2023""年""04""月""","2025""年""07""月""",終了,5000,退会のため,43,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,三田店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,44,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,下関店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,45,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,蓮田店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,46,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,北本店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,47,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,大分東店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,48,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,伊万里店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,49,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,諫早愛野店,3267,"2023""年""05""月""","2023""年""05""月""","2025""年""01""月""",終了,5000,退会のため,50,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,古河店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,51,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,新居浜店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,52,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,有馬店,3267,"2023""年""05""月""","2023""年""05""月""","2026""年""03""月""",終了,5000,プロタイムズ退会のため,53,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,上尾店,3267,"2023""年""04""月""","2023""年""04""月""",,稼働中,5000,,54,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,豊田永覚店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,55,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,筑西店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,56,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,浜松西店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,57,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,水戸南店,3267,"2023""年""05""月""","2023""年""05""月""","2025""年""02""月""",終了,5000,退会のため,58,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,熊本東店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,59,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,高井田店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,60,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,名古屋緑店,3267,"2023""年""05""月""","2023""年""05""月""","2025""年""11""月""",終了,5000,11月でプロタイムズ退会,61,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,宮崎北店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,62,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,日野店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,63,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,板橋徳丸店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,64,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,印西店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,65,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,広島呉店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,66,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,宝塚南店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,67,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,亀岡店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,68,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,都城店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,69,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,松原店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,70,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,揖斐大垣店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,71,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
WEB保守サービス,西可児店,3267,"2023""年""05""月""","2023""年""05""月""",,稼働中,5000,,72,月額費用.xlsx,01JMGB6ZPMKOXQLO2UCFCKCWPWH7YJ2KS5,242.0,2026-04-30 17:22:19
